Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
,,,,3 x 0 0 0 1,3 x 0 0 0 1,,,,,,
,,,,3 x 4 0 3 2,2 x 4 0 3 1,,,,,,
,,Ab,,4 x 0 0 0 2,3 x 0 0 0 1,E Ab,,,,,
,,A,,x 0 0 0 0 2,x 0 0 0 0 3,E D Ab,,,,,
,,Bb,,x 1 0 0 0 2,x 1 0 0 0 3,,,,,,
,,B,,x 2 0 0 0 2,x 2 0 0 0 3,F C B,,,,,
,,C,,x 3 0 0 0 2,x 2 0 0 0 1,E,,,,,
,,C#,,x 4 0 0 0 2,x 3 0 0 0 1,E,,,,,
,,D,,x x 0 0 0 1,x x 0 0 0 2,E D C A,,,,,
,,Eb,,,,D,,,,,
,,E,,0 2 0 0 0 2,0 1 0 0 0 2,Ab,,,,,
,,F,,1 2 0 0 0 2,1 2 0 0 0 3,C,,,,,
,,F#,,2 2 0 0 0 2,1 2 0 0 0 3,E F,,,,,
G Dominant 7th,G7,G,7,3 2 0 0 0 1,3 2 0 0 0 1,E D A B ,,,,,
,,,,3 2 3 0 0 1,3 2 4 0 0 1,,,,,,
,,Ab,,,,E Ab,,,,,
,,A,,x 0 0 0 0 1,x 0 0 0 0 1,E D,,,,,
,,Bb,,x 1 0 0 0 1,x 1 0 0 0 2,E,,,,,
,,B,,x 2 0 0 0 1,x 2 0 0 0 1,D B,,,,,
,,,,x 2 0 0 3 1,x 2 0 0 4 1,,,,,,
,,,,x 2 3 0 3 1,x 2 3 0 4 1,,,,,,
,,,,x 2 3 0 3 3,x 1 2 0 3 4,,,,,,
,,,,x 2 3 0 3 x,x 1 2 0 3 x,,,,,,
,,C,,x 3 0 0 0 1,x 3 0 0 0 1,E B,,,,,
,,C#,,,,E,,,,,
,,D,,x x 0 0 0 1,x x 0 0 0 1,E D B A,,,,,
,,Eb,,,,E Ab,,,,,
,,E,,0 2 0 0 0 1,0 2 0 0 0 1,A,,,,,
,,,,0 x 0 0 0 1,0 x 0 0 0 1,,,,,,
,,F,,1 x 0 0 0 1,1 x 0 0 0 2,E B,,,,,
,,F#,,2 x 0 0 0 1,2 x 0 0 0 1,,,,,,
G Minor 7th,Gm7,G,m7,3 x 0 3 3 1,2 x 0 3 4 1,E A D B,,,,,
,,Ab,,,,E A Ab,,,,,
,,A,,x 0 3 3 3 3,x 0 1 1 1 1,E D,,,,,
,,Bb,,,,F# B,,,,,
,,B,,,,F,,,,,
,,C,,,,E A B,,,,,
,,C#,,,,E Ab,,,,,
,,D,,x x 0 3 6 3,x x 0 1 4 1,E D B A,,,,,
,,Eb,,,,E A,,,,,
,,E,,0 5 3 3 3 3,0 3 1 1 1 1,A,,,,,
,,F,,,,F# E B A,,,,,
,,F#,,,,F B,,,,,
G Half-Diminshed,Gm7b5,G,m7b5,,,F D A B ,,,,,
G Add 9,Gadd9,G,add9,3 2 0 2 0 3,3 1 0 2 0 4,E C A,,,,,
G Sus 2,Gsus2,G,sus2,3 0 0 2 3 3,2 0 0 1 3 4,A D,,,,,
G Add 4,Gadd4,G,add4,3 3 0 0 0 3,1 2 0 0 0 3,E A ,,,,,
,,,,3 2 0 0 1 3,3 2 0 0 1 4,,,,,,
,,,,3 2 0 0 1 x,3 2 0 0 1 x,,,,,,
G Sus4,Gsus4,G,sus4,3 3 0 0 1 3,2 3 0 0 1 3,E A D,,,,,
,,,,3 3 0 0 3 3,1 2 0 0 3 4,,,,,,
G 5 (Power Chord),G5,G,5,,,E A D,,,,,
G 6,G6,G,6,3 2 0 0 0 0,3 2 0 0 0 0,E A B F D,,,,,
G Minor add 9,Gmadd9,G,madd9,3 1 0 2 3 x,3 1 0 2 4 x,E,,,,,
G Minor add 4,Gmadd4,G,madd4,,,E A,,,,,
G Minor 6,Gm6,G,m6,,,E F B D,,,,,
G Major 9,Gmaj9,G,maj9,3 2 0 2 0 2,4 1 0 2 0 3,E Bb,,,,,
G Major 11,Gmaj11,G,maj11,3 3 0 0 0 2,2 3 0 0 0 1,E A,,,,,
G Major 13,Gmaj13,G,maj13,3 x 4 0 0 0,1 x 3 0 0 0,E F,,,,,
G Major #11,Gmaj#11,G,maj#11,3 2 0 0 2 2,4 1 0 0 2 2,E A,,,,,
,,,,,,,,,,,
G Minor 9,"Gm9, Gm7/9",G,"m9, m7/9",3 1 0 2 3 x ,3 1 0 2 4 x,E B,,,,,
G Minor 11,Gm11,G,m11,3 1 0 0 1 x,4 1 0 0 2 x,E F# B A ,,,,,
G Minor 13,Gm13,G,m13,3 1 0 0 3 0,3 1 0 0 4 0,E A,,,,,
G Minor flat 9,Gm7(b9),G,m7(b9),,,E F#,,,,,
G Minor flat 13,Gm(b13),G,m(b13),,,E A,,,,,
G Minor sharp 11,Gm(#11),G,m(#11),3 1 0 0 2 3,3 1 0 0 2 4,E A,,,,,
G Minor Major 7th,Gm(maj7),G,m(maj7),,,E A D C F,,,,,
G Dominant 7/9,"G9, G7/9",G,"9, 7/9",,,E Bb Eb F,,,,,
G Dominant 7sus2,G7sus2,G,7sus2,3 0 3 0 3 3,1 0 2 0 3 4,A D,,,,,
G Dominant 7/11,G7sus4,G,7sus4,3 x 3 0 1 3,2 x 3 0 1 4,E A D B,,,,,
,,,,3 x 0 0 1 1,3 x 0 0 1 1,,,,,,
G Dominant 11th,G11,G,11,3 2 3 0 1 x,3 2 4 0 1 x,B A,,,,,
G Dominant 7/13,G13,G,13,3 2 2 0 0 1,4 2 3 0 0 1,E A Bb,,,,,
G Dominant 7/9b,G7b9,G,7b9,3 2 3 1 0 x,3 2 4 1 0 x,E Bb Eb,,,,,
G Dominant 7/11#,G(#11),G,#11,3 2 0 0 2 1,4 2 0 0 3 1,E A,,,,,
G Dominant 7/b5,G7b5,G,7b5,3 2 3 0 2 x,3 2 4 0 1 x,E F A D,,,,,
G Augmented 7,Gaug7,G,aug7,3 2 3 0 4 x,2 1 3 0 4 x,E A D,,,,,
G add6 add9,G6/9,G,6/9,3 2 0 2 3 0,2 1 0 3 4 0,Bb Eb F,,,,,
,,,,3 2 0 2 0 0,2 1 0 3 0 0,,,,,4 3 1 2 1 1,
G Minor add6 add9,Gm6/9,G,m6/9,,,E B,,,,,
G Major 7 13/9,Gmaj13/9,G,maj13/9,,,E A F,,,,,
G Dominant 7 13/9,G13/9,G,13/9,3 x 3 2 0 0,2 x 3 1 0 0,E A Bb,,,,3 x 4 2 1 1,
G Dominant 7 13/b9,G13/b9,G,13/b9,3 x 3 1 0 0,3 x 4 1 0 0 ,E,,,,3 x 4 2 1 1,
G Dominant 7#9,G7#9,G,7#9,,,Bb Eb,,,,,
,,,,,,,,,,,
Ab Major,Ab,Ab,M,,,E A C D,,,,,
,,A,,x 0 1 1 1 x,x 0 1 2 3 x,E Ab C#,,,,,
,,Bb,,,,G E C D,,,,,
,,B,,,,G,,,,,
,,C,,,,G C F,,,,,
,,Db,,,,E G A C,,,,,
,,D,,x x 0 5 4 4,x x 0 2 1 1,A E,,,,,
,,Eb,,,,E G A,,,,,
,,E,,0 x 1 1 1 x,0 x 1 1 1 x,E,,,,,
,,F,,,,C D,,,,,
,,Gb,,,,G E C,,,,,
,,G,,,,F E G Bb C,,,,,
Ab Minor,Abm,Ab,m,,,E A D,,,,,
,,A,,x 0 1 1 0 x,x 0 1 2 0 x,,,,,x 1 3 4 2 x,
,,Bb,,x 1 1 1 0 x,x 1 2 3 0 x,E C# D,,,,,
,,B,,x 2 1 1 0 x,x 3 1 2 0 x,C# E F#,,,,,
,,C,,,,F C#,,,,,
,,Db,,,,C# E A,,,,,
,,D,,x x 0 4 4 4,x x 0 1 2 3,E A C,,,,,
,,Eb,,,,E A D,,,,,
,,E,,0 x 1 1 0 x,0 x 1 2 0 x,C# F# E,,,,,
,,F,,1 x 1 1 0 x,1 x 2 3 0 x,F C# C,,,,,
,,Gb,,2 x 1 1 0 x,3 x 1 2 0 x,E C# F# C,,,,,
,,G,,,,E F C,,,,,
Ab Diminished,Abdim,Ab,dim,,,D F Bb A,,,,,
Ab Augmented,Abaug,Ab,aug,,,E A B G,,,,,
Ab Maj7,Abmaj7,Ab,maj7,,,E G A C D,,,,,
,,A,,x 0 1 1 1 3,x 0 1 1 1 3,E,,,,,
,,Bb,,x 1 1 0 1 x,x 1 2 0 3 x,G E D,,,,,
,,B,,,,G,,,,,
,,C,,,,G F C B,,,,,
,,Db,,,,E,,,,,
,,D,,,,E,,,,,
,,Eb,,,,G E D C A,,,,,
,,E,,0 x 1 1 1 3,0 x 1 1 1 3,D,,,,,
,,F,,1 x 1 0 1 x,1 x 2 0 3 x,G,,,,,
,,Gb,,,,G C,,,,,
,,G,,,,E F G,,,,,
Ab Dominant 7th,Ab7,Ab,7,,,E G B D A,,,,,
,,A,,x 0 1 1 1 2,x 0 1 1 1 2,E,,,,x 1 3 3 3 4,
,,Bb,,,,G E D,,,,,
,,B,,,,G E,,,,,
,,C,,,,G D B,,,,,
,,Db,,,,E B,,,,,
,,D,,,,E,,,,,
,,Eb,,,,G E D B A,,,,,
,,E,,0 x 1 1 1 2,0 x 1 1 1 2,E,,,,1 x 3 3 3 4,
,,F,,,,G A,,,,,
,,Gb,,,,G E B,,,,,
,,G,,,,G,,,,,
Ab Minor 7th,Abm7,Ab,m7,,,E A D B,,,,,
,,A,,x 0 1 1 0 2,x 0 1 2 0 3,E A,,,,,
,,Bb,,,,E D,,,,,
,,B,,,,F# B,,,,,
,,C,,,,F,,,,,
,,Db,,,,E A B,,,,,
,,D,,x x 0 1 0 2,x x 0 1 0 3,E,,,,,
,,Eb,,,,E D B A,,,,,
,,E,,0 x 1 1 0 2,0 x 1 2 0 3,E A,,,,,
,,F,,,,A,,,,,
,,Gb,,,,F# E B A,,,,,
,,G,,,,F B,,,,,
Ab Half-Diminshed,Abm7b5,Ab,m7b5,,,F D A B,,,,,
Ab Abdd 9,Abadd9,Ab,add9,,,,,,,,
Ab Sus 2,Absus2,Ab,sus2,,,A D,,,,,
Ab Abdd 4,Abadd4,Ab,add4,,,,,,,,
Ab Sus4,Absus4,Ab,sus4,,,E A D,,,,,
Ab 5 (Power Chord),Ab5,Ab,5,,,E A D,,,,,
Ab 6,Ab6,Ab,6,,,E A B F D G,,,,,
Ab Minor add 9,Abmadd9,Ab,madd9,,,E,,,,,
Ab Minor add 4,Abmadd4,Ab,madd4,,,E A ,,,,,
Ab Minor 6,Abm6,Ab,m6,,,E F B D,,,,,
Ab Major 9,Abmaj9,Ab,maj9,,,E Bb,,,,,
Ab Major 11,Abmaj11,Ab,maj11,,,E A,,,,,
Ab Major 13,Abmaj13,Ab,maj13,,,E F,,,,,
Ab Major #11,Abmaj#11,Ab,maj#11,,,E A,,,,,
Ab Minor 9,"Abm9, Abm7/9",Ab,"m9, m7/9",,,E B,,,,,
Ab Minor 11,Abm11,Ab,m11,,,E F# B A ,,,,,
Ab Minor 13,Abm13,Ab,m13,,,E A,,,,,
Ab Minor flat 9,Abm7(b9),Ab,m7(b9),,,E F#,,,,,
Ab Minor flat 13,Abm(b13),Ab,m(b13),,,E A,,,,,
Ab Minor sharp 11,Abm(#11),Ab,m(#11),,,E A,,,,,
Ab Minor Major 7th,Abm(maj7),Ab,m(maj7),,,E A D C F,,,,,
Ab Dominant 7/9,"Ab9, Ab7/9",Ab,"9, 7/9",,,E Bb Eb F,,,,,
Ab Dominant 7sus2,Ab7sus2,Ab,7sus2,,,D A,,,,,
Ab Dominant 7/11,Ab7sus4,Ab,7sus4,,,E A D B,,,,,
Ab Dominant 11th,Ab11,Ab,11,,,B A,,,,,
Ab Dominant 7/13,Ab13,Ab,13,,,E A Bb,,,,,
Ab Dominant 7/9b,Ab7b9,Ab,7b9,,,E Bb Eb,,,,,
Ab Dominant 7/11#,Ab(#11),Ab,#11,,,E A,,,,,
Ab Dominant 7/b5,Ab7b5,Ab,7b5,,,E F A D,,,,,
Ab Augmented 7,Abaug7,Ab,aug7,,,E A D,,,,,
Ab add6 add9,Ab6/9,Ab,6/9,,,Bb Eb F G,,,,,
Ab Minor add6 add9,Abm6/9,Ab,m6/9,,,E B,,,,,
Ab Major 7 13/9,Abmaj13/9,Ab,maj13/9,,,E A F,,,,,
Ab Dominant 7 13/9,Ab13/9,Ab,13/9,,,E A G Bb,,,,,
Ab Dominant 7 13/b9,Ab13/b9,Ab,13/b9,,,E G,,,,,
Ab Dominant 7#9,Ab7#9,Ab,7#9,,,Bb Eb,,,,,
,,,,,,,,,,,
A Major,A,A,M,x 0 2 2 2 0,x 0 1 2 3 0,E D C,,,,,
,,Bb,,,,Ab C# E,,,,,
,,B,,,,G E C D,,,,,
,,C,,,,G,,,,,
,,C#,,,,G C F,,,,,
,,D,,x x 0 2 2 0,x x 0 2 3 0,E G C,,,,,
,,D#,,x x 1 2 2 0,x x 1 2 3 0,E,,,,,
,,E,,0 0 2 2 2 0,0 0 1 2 3 0,E G,,,,,
,,F,,1 x 2 2 2 0,1 x 2 3 4 0,Ab E,,,,,
,,F#,,,,C D,,,,,
,,G,,,,G E C,,,,,
,,G#,,,,G E F Bb C,,,,,
A Minor,Am,A,m,x 0 2 2 1 0,x 0 2 3 1 0,E D,,,,,
,,Bb,,x 1 2 2 1 0,x 1 3 4 1 0,E Ab C#,,,,,
,,B,,x 2 2 2 1 0,x 2 3 4 1 0,Ab E C# D,,,,,
,,C,,x 3 2 2 1 0,x 4 2 3 1 0,Ab C# E F#,,,,,
,,C#,,,,F C#,,,,,
,,D,,x x 0 2 1 0,x x 0 2 1 x,C# E,,,,,
,,D#,,x x 1 2 1 0,x x 1 3 2 0,E C,,,,,
,,E,,0 0 2 2 1 0,0 0 2 3 1 0,E D,,,,,
,,F,,1 0 2 2 1 0,1 0 3 4 2 0,Ab F E C#,,,,,
,,F#,,2 0 2 2 1 0,2 0 3 4 1 0,Ab F C C#,,,,,
,,G,,3 0 2 2 1 0,4 0 2 3 1 0,Ab E C# F# C,,,,,
,,G#,,,,F E C,,,,,
A Diminished,Adim,A,dim,x 0 1 2 1 x,x 0 1 3 2 x,D F Bb A,,,,,
,,,,x 0 1 2 1 2,x 0 1 2 3 4,,,,,,
A Augmented,Aaug,A,aug,x 0 3 2 2 1,x 0 4 2 3 1,E B G,,,,,
,,,,x 0 3 2 2 x,x 0 3 1 2 x,,,,,,
A Maj7,Amaj7,A,maj7,x 0 2 1 2 0,x 0 2 1 3 0,E D C G,,,,,
,,Bb,,,,E Ab,,,,,
,,B,,,,G E D Ab,,,,,
,,C,,,,G,,,,,
,,C#,,,,G F C B,,,,,
,,D,,,,E,,,,,
,,D#,,,,E,,,,,
,,E,,0 0 2 1 2 0,0 0 2 1 3 0,G E D C,,,,,
,,F,,1 0 2 1 2 0,1 0 3 2 4 0,D,,,,,
,,F#,,2 0 2 1 2 0,2 0 3 1 4 0,G Ab,,,,,
,,G,,3 0 2 1 2 0,4 0 2 1 3 0,G C,,,,,
,,G#,,,,E F G,,,,,
A Dominant 7th,A7,A,7,x 0 2 0 2 0,x 0 2 0 3 0,E D B G,,,,,
,,,,x 0 2 0 2 3,x 0 2 0 3 4,,,,,x 1 2 1 3 4,
,,,,x 0 2 2 2 3,x 0 1 2 3 4,,,,,x 1 3 3 3 4,
,,Bb,,,,Ab E,,,,,
,,B,,,,G E D,,,,,
,,C,,,,G E,,,,,
,,C#,,,,G D B,,,,,
,,D,,,,E B,,,,,
,,Eb,,,,E,,,,,
,,E,,0 0 2 0 2 0,0 0 2 0 3 0,G E D B,,,,,
,,,,0 0 2 0 2 3,0 0 2 0 3 4,,,,,1 1 2 1 3 4,
,,,,0 0 2 2 2 3,0 0 1 2 3 4,,,,,1 1 3 3 3 4,
,,F,,,,Ab E,,,,,
,,F#,,2 0 2 0 2 0,1 0 2 0 3 0,G,,,,,
,,,,2 0 2 0 2 3,1 0 2 0 3 4,,,,,,
,,G,,3 0 2 0 2 0,3 0 1 0 2 0,G E B,,,,,
,,G#,,,,G,,,,,
A Minor 7th,Am7,A,m7,x 0 2 0 1 0,x 0 2 0 1 0,E D B,,,,,
,,,,x 0 2 0 1 3,x 0 2 0 1 4,E,,,,x 1 3 1 2 4,
,,,,x 0 2 2 1 3,x 0 2 3 1 4,,,,,,
,,Bb,,x 1 2 0 1 0,x 1 3 0 1 0,E Ab,,,,,
,,B,,x 2 2 0 1 0,x 2 3 0 1 0,E D,,,,,
,,C,,,,F# B,,,,,
,,C#,,x 4 2 0 1 0,x 4 2 0 1 0,F,,,,,
,,D,,x x 0 2 1 3,x x 0 2 1 4,E B,,,,,
,,D#,,,,E Ab,,,,,
,,E,,0 0 2 0 1 0,0 0 2 0 1 0,E D B,,,,,
,,,,0 0 2 2 1 3,0 0 2 3 1 4,,,,,,
,,,,0 0 2 0 1 3,0 0 2 0 1 4,,,,,,
,,F,,1 0 2 0 1 0,1 0 3 0 2 0,E,,,,,
,,F#,,2 0 2 0 1 0,2 0 3 0 1 0,,,,,,
,,G,,3 0 2 0 1 0,3 0 2 0 1 0,F# E B,,,,,
,,G#,,4 0 2 0 1 0,4 0 2 0 1 0,F B,,,,,
A Half-Diminshed,Am7b5,A,m7b5,x 0 1 2 1 3,x 0 1 3 2 4,F D B,,,,,
,,,,x 0 1 0 1 x,x 0 1 0 1 x,,,,,x 1 3 2 4 x,
A Add 9,Aadd9,A,add9,x 0 2 4 2 0,x 0 1 4 2 0,E C A,,,,x 1 2 4 3 1,
A Sus 2,Asus2,A,sus2,x 0 2 2 0 0,x 0 2 3 0 0,D,,,,,
,,E,,0 0 2 2 0 0,0 0 2 3 0 0,,,,,,
A Add 4,Aadd4,A,add4,x 0 0 2 2 0,x 0 0 2 3 0,E G,,,,,
A Sus4,Asus4,A,sus4,x 0 2 2 3 0 ,x 0 1 2 3 0,E D,,,,,
A 5 (Power Chord),A5,A,5,x 0 2 2 x x,x 0 2 3 x x,E D,,,,,
A 6,A6,A,6,x 0 2 2 2 2,x 0 1 1 1 1,E D F B G,,,,x 1 3 3 3 3,
,,E,,0 0 2 2 2 2,0 0 1 1 1 1,,,,,,
A Minor add 9,Amadd9,A,madd9,x 0 2 4 1 0,x 0 2 4 1 0,E,,,,,
A Minor add 4,Amadd4,A,madd4,x 0 0 2 1 0,x 0 0 2 1 0,E,,,,,
A Minor 6,Am6,A,m6,x 0 2 2 1 2,x 0 2 3 1 4,E F B D,,,,,
,,,,x 0 x 2 1 2,x 0 x 3 1 4,,,,,,
A Major 9,Amaj9,A,maj9,,,E Bb,,,,,
A Major 11,Amaj11,A,maj11,x 0 0 1 2 0,x 0 0 1 2 0,E,,,,,
A Major 13,Amaj13,A,maj13,x 0 2 1 2 2,x 0 2 1 3 4 ,E F,,,,,
A Major #11,Amaj#11,A,maj#11,x 0 1 1 2 0,x 0 1 1 2 0,E,,,,,
A Minor 9,"Am9, Am7/9",A,"m9, m7/9",x 0 2 4 1 3,x 0 2 4 1 3,E B,,,,,
A Minor 11,Am11,A,m11,x 0 0 0 1 0 ,x 0 0 0 1 0,E F# B,,,,,
A Minor 13,Am13,A,m13,x 0 2 0 1 2 ,x 0 2 0 1 3,E,,,,,
A Minor 7 flat 9,Am7(b9),A,m7(b9),x 0 2 3 1 3,x 0 2 3 1 4,E F#,,,,,
A Major flat 13,A(b13),A,(b13),5 x 5 6 6 x,x 0 3 0 1 2,E,,,,,
A Minor flat 13,Am(b13),A,m(b13),x 0 2 0 1 1,x 0 3 0 1 2,E,,,,,
A Minor sharp 11,Am(#11),A,m(#11),x 0 1 2 1 0,x 0 1 3 2 0,E,,,,,
A Minor Major 7th,Am(maj7),A,m(maj7),x 0 2 1 1 0,x 0 3 1 2 0,E D C F,,,,,
A Dominant 7/9,"A9, A7/9",A,"9, 7/9",x 0 2 4 2 3,x 0 1 4 2 3,E Bb Eb F,,,,,
A Dominant 7sus2,A7sus2,A,7sus2,x 0 2 0 0 0,x 0 2 0 0 0,D,,,,,
A Dominant 7/11,A7sus4,A,7sus4,x 0 2 0 3 0,x 0 1 0 3 0 ,E D B,,,,,
,,,,x 0 2 0 3 3,x 0 1 0 3 4,,,,,x 1 2 1 3 4,
,,,,x 0 2 2 3 3,x 0 1 2 3 4,,,,,,
A Dominant 11th,A11,A,11,x 0 0 0 2 0,x 0 0 0 2 0,B,,,,,
A Dominant 7/13,A13,A,13,x 0 2 0 2 2,x 0 1 0 2 3 ,E Bb,,,,,
A Dominant 7/9b,A7b9,A,7b9,x 0 2 3 2 3,x 0 1 3 2 4,E Bb Eb,,,,,
A Dominant 7/11#,A(#11),A,#11,x 0 1 0 2 0 ,x 0 1 0 3 0,E,,,,,
A Dominant 7/b5,A7b5,A,7b5,x 0 1 0 2 x ,x 0 1 0 3 x,E F D,,,,,
A Augmented 7,Aaug7,A,aug7,x 0 3 0 2 1,x 0 3 0 2 1,E D,,,,,
A add6 add9,A6/9,A,6/9,x 0 2 4 2 2 ,x 0 1 3 1 1 ,Bb Eb F G,,,,,
A Minor add6 add9,Am6/9,A,m6/9,,,E B,,,,,
A Major 7 13/9,Amaj13/9,A,maj13/9,x 0 2 1 0 2,x 0 2 1 0 3,E F,,,,,
A Dominant 7 13/9,A13/9,A,13/9,x 0 2 0 0 2,x 0 2 0 0 3,E G Bb,,,,,
A Dominant 7 13/b9,A13/b9,A,13/b9,x 0 5 3 2 2,x 0 4 2 1 1,E G,,,,,
A Dominant 7#9,A7#9,A,7#9,,,Eb Bb,,,,,
,,,,,,,,,,,
Bb Major,Bb,Bb,M,,,A E D,,,,,
,,B,,,,Ab C# E,,,,,
,,C,,,,G E C D,,,,,
,,Db,,,,G Eb,,,,,
,,D,,x x 0 3 3 1,x x 0 2 3 1,G C F,,,,,
,,Eb,,,,E G A C,,,,,
,,E,,0 1 3 3 3 1,0 1 2 3 4 1,A E,,,,,
,,F,,,,A E G,,,,,
,,Gb,,,,Ab E,,,,,
,,G,,,,C D,,,,,
,,Ab,,,,G E C,,,,,
,,A,,x 0 3 3 3 x,x 0 1 2 3 x,G E F C,,,,x 1 4 4 4 x,
Bb Minor,Bbm,Bb,m,,,A E,,,,,
,,B,,,,Ab C# E,,,,,
,,C,,,,Ab E C# D,,,,,
,,Db,,,,C# Ab E F#,,,,,
,,D,,x x 0 3 2 1,x x 0 3 2 1,F C#,,,,,
,,Eb,,,,C# A E,,,,,
,,E,,0 1 3 3 2 1,0 1 3 4 2 1,E A C,,,,,
,,F,,,,A E D,,,,,
,,Gb,,,,Ab F E C#,,,,,
,,G,,,,Ab F C C#,,,,,
,,Ab,,,,Ab E C# F# C,,,,,
,,A,,x 0 3 3 2 1,x 0 3 4 2 1,F E C,,,,,
Bb Diminished,Bbdim,Bb,dim,x 1 2 0 2 x ,x 1 2 0 3 x ,D F Bb A,,,,,
,,,,x 1 2 0 2 0,x 1 2 0 3 0 ,,,,,,
Bb Augmented,Bbaug,Bb,aug,,,A E G B,,,,,
Bb Maj7,Bbmaj7,Bb,maj7,,,A E G D C,,,,,
,,B,,,,E Ab,,,,,
,,C,,,,G E D Ab,,,,,
,,Db,,,,G,,,,,
,,D,,,,G F C B,,,,,
,,Eb,,,,E,,,,,
,,E,,0 1 3 2 3 1,0 1 3 2 4 1,E,,,,,
,,F,,,,A G E D C,,,,,
,,Gb,,,,D,,,,,
,,G,,,,G Ab,,,,,
,,Ab,,,,G C,,,,,
,,A,,x 0 3 3 3 5,x 0 1 1 1 3,E F G,,,,,
Bb Dominant 7th,Bb7,Bb,7,,,E G D B A,,,,,
,,B,,,,Ab E,,,,,
,,C,,,,G E D,,,,,
,,Db,,,,G E,,,,,
,,D,,,,G D B,,,,,
,,Eb,,,,E B,,,,,
,,E,,0 1 3 1 3 1,0 1 3 1 4 1,E,,,,,
,,,,0 1 3 1 3 4,0 1 2 1 3 4,,,,,,
,,F,,,,A G E D B,,,,,
,,Gb,,,,Ab E,,,,,
,,G,,,,A G,,,,,
,,Ab,,,,G E B,,,,,
,,A,,,,G,,,,,
Bb Minor 7th,Bbm7,Bb,m7,,,A E D B,,,,,
,,B,,,,E A Ab,,,,,
,,C,,,,E D,,,,,
,,Db,,,,F# B,,,,,
,,D,,,,F,,,,,
,,Eb,,,,A E B,,,,,
,,E,,0 1 3 1 2 1,0 1 3 1 2 1,E Ab,,,,,
,,F,,,,A E D B,,,,,
,,Gb,,,,A E,,,,,
,,G,,,,A,,,,,
,,Ab,,,,A F# E B,,,,,
,,A,,x 0 3 1 2 1,x 0 3 1 2 1,F B,,,,,
Bb Half-Diminshed,Bbm7b5,Bb,m7b5,,,A F D,,,,,
Bb Add 9,Bbadd9,Bb,add9,,,E A C ,,,,,
Bb Sus 2,Bbsus2,Bb,sus2,,,A D,,,,,
Bb Add 4,Bbadd4,Bb,add4,,,A E G,,,,,
Bb Sus4,Bbsus4,Bb,sus4,,,A E D,,,,,
Bb 5 (Power Chord),Bb5,Bb,5,,,A E D,,,,,
Bb 6,Bb6,Bb,6,,,A E F D B G,,,,,
Bb Minor add 9,Bbmadd9,Bb,madd9,,,E,,,,,
Bb Minor add 4,Bbmadd4,Bb,madd4,,,A E,,,,,
Bb Minor 6,Bbm6,Bb,m6,,,E F B D,,,,,
Bb Major 9,Bbmaj9,Bb,maj9,x 1 0 2 1 x,x 1 0 3 2 x,E,,,,,
Bb Major 11,Bbmaj11,Bb,maj11,,,A E,,,,,
Bb Major 13,Bbmaj13,Bb,maj13,,,E F,,,,,
Bb Major #11,Bbmaj#11,Bb,maj#11,x 1 3 2 3 0,x 1 3 2 4 0,A E,,,,,
Bb Minor 9,"Bbm9, Bbm7/9",Bb,"m9, m7/9",,,E B,,,,,
Bb Minor 11,Bbm11,Bb,m11,,,A E F# B ,,,,,
Bb Minor 13,Bbm13,Bb,m13,,,A E,,,,,
Bb Minor flat 9,Bbm7(b9),Bb,m7(b9),,,E F#,,,,,
Bb Minor flat 13,Bbm(b13),Bb,m(b13),,,A E,,,,,
Bb Minor sharp 11,Bbm(#11),Bb,m(#11),,,A E,,,,,
Bb Minor Major 7th,Bbm(maj7),Bb,m(maj7),,,A E D C F,,,,,
Bb Dominant 7/9,"Bb9, Bb7/9",Bb,"9, 7/9",x 1 0 1 1 x,x 1 0 2 3 x,E Eb F,,,,,
,,,,x 1 0 1 1 1,x 1 0 2 3 4,,,,,x 1 2 3 3 3,
Bb Dominant 7sus2,Bb7sus2,Bb,7sus2,,,A D,,,,,
Bb Dominant 7/11,Bb7sus4,Bb,7sus4,,,A E D B,,,,,
Bb Dominant 11th,Bb11,Bb,11,,,A B,,,,,
Bb Dominant 7/13,Bb13,Bb,13,x 1 0 1 3 3,x 1 0 2 4 4,A E,,,,x 2 1 3 4 4,
Bb Dominant 7/9b,Bb7b9,Bb,7b9,x 1 0 1 0 x,x 1 0 2 0 x ,E Eb,,,,,
,,,,x 1 0 1 0 1,x 1 0 2 0 3 ,,,,,,
Bb Dominant 7/11#,Bb(#11),Bb,#11,,,A E,,,,,
Bb Dominant 7/b5,Bb7b5,Bb,7b5,,,A E F D,,,,,
Bb Augmented 7,Bbaug7,Bb,aug7,,,E A D,,,,,
Bb add6 add9,Bb6/9,Bb,6/9,x 1 0 0 1 x,x 1 0 0 2 x,Eb F G,,,,,
,,,,x 1 0 0 1 1,x 1 0 0 2 3,,,,,,
Bb Minor add6 add9,Bbm6/9,Bb,m6/9,,,E B,,,,,
Bb Major 7 13/9,Bbmaj13/9,Bb,maj13/9,,,A E F,,,,,
Bb Dominant 7 13/9,Bb13/9,Bb,13/9,x 1 0 1 1 3,x 1 0 2 3 4,A E G,,,,x 2 1 3 3 4,Advanced
Bb Dominant 7 13/b9,Bb13/b9,Bb,13/b9,,,E G,,,,, 
Bb Dominant 7#9,Bb7#9,Bb,7#9,x 1 0 1 2 x,x 1 0 2 3 x,Eb,,,,,
,,,,,,,,,,,
