Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
,,D,,,,A Ab E,,,,,
,,D#,,,,E D,,,,,
,,E,,0 4 6 4 5 4,0 1 3 1 2 1,D F#,,,,,
,,F,,,,F,,,,,
,,F#,,,,A B E,,,,,
,,G,,,,E Ab,,,,,
,,G#,,,,B A E D,,,,,
,,A,,x 0 9 9 9 9,x 0 1 1 1 1,A E,,,,,
,,A#,,,,A,,,,,
,,B,,,,B A F# E,,,,,
,,C,,,,B F,,,,,
C# Half-Diminshed,C#m7b5,C#,m7b5,,,A F D B,,,,,
C# Add 9,C#add9,C#,add9,,,E C A,,,,,
C# Sus 2,C#sus2,C#,sus2,,,A D,,,,,
C# Add 4,C#add4,C#,add4,,,A E G,,,,,
C# Sus4,C#sus4,C#,sus4,,,A E D,,,,,
C 5 (Power Chord),C5,C,5,,,A E D,,,,,
C# 6,C#6,C#,6,,,A E B F D G,,,,,
C# Minor add 9,C#madd9,C#,madd9,,,E,,,,,
C# Minor add 4,C#madd4,C#,madd4,,,A E,,,,,
C# Minor 6,C#m6,C#,m6,,,E B F D,,,,,
C# Major 9,C#maj9,C#,maj9,,,Bb E,,,,,
C# Major 11,C#maj11,C#,maj11,,,A E,,,,,
C# Major 13,C#maj13,C#,maj13,,,E,,,,,
C# Major #11,C#maj#11,C#,maj#11,,,A E,,,,,
C# Minor 9,"C#m9, C#m7/9",C#,"m9, m7/9",x 4 2 4 4 x,,B E,,,,,
C# Minor 11,C#m11,C#,m11,,,B A E F# ,,,,,
C# Minor 13,C#m13,C#,m13,,,A E,,,,,
C# Minor flat 9,C#m7(b9),C#,m7(b9),,,E F#,,,,,
C# Minor flat 13,C#m(b13),C#,m(b13),,,A E,,,,,
C# Minor sharp 11,C#m(#11),C#,m(#11),,,A E,,,,,
C# Minor Major 7th,C#m(maj7),C#,m(maj7),,,A E C F D,,,,,
C# Dominant 7/9,"C#9, C#7/9",C#,"9, 7/9",,,Bb E Eb F,,,,,
C# Dominant 7sus2,C#7sus2,C#,7sus2,,,A D,,,,,
C# Dominant 7sus4,C#7sus4,C#,7sus4,,,A E D B,,,,,
C# Dominant 11th,C#11,C#,11,,,B A,,,,,
C# Dominant 7/13,C#13,C#,13,,,A E Bb,,,,,
C# Dominant 7/9b,C#7b9,C#,7b9,,,Bb E Eb,,,,,
C# Dominant 7/11#,C#(#11),C#,#11,,,E A,,,,,
C# Dominant 7/b5,C#7b5,C#,7b5,,,A E F D,,,,,
C# Augmented 7,C#aug7,C#,aug7,,,A E D,,,,,
C# add6 add9,C#6/9,C#,6/9,,,Bb Eb F G,,,,,
C# Minor add6 add9,C#m6/9,C#,m6/9,,,B E,,,,,
C# Major 7 13/9,C#maj13/9,C#,maj13/9,,,A E F,,,,,
C# Dominant 7 13/9,C#13/9,C#,13/9,,,A E G Bb,,,,,
C# Dominant 7 13/b9,C#13/b9,C#,13/b9,,,E G,,,,,
C# Dominant 7#9,C#7#9,C#,7#9,,,Bb Eb,,,,,
,,,,,,,,,,,
D Major,D,D,M,x x 0 2 3 2,x x 0 1 3 2,A E C,,,,,
,,Eb,,,,C# Ab E,,,,,
,,E,,0 0 0 2 3 2,0 0 0 1 3 2,G E C,,,,,
,,F,,1 0 0 2 3 2,1 0 0 2 4 3,G,,,,,
,,F#,,2 0 0 2 3 2,1 0 0 2 4 3,C G F,,,,,
,,G,,3 0 0 2 3 2,3 0 0 1 4 2,A G C E,,,,,
,,G#,,4 0 0 2 3 2,4 0 0 1 2 1,A E,,,,,
,,A,,x 0 0 2 3 2,x 0 0 1 3 2,A E G,,,,,
,,Bb,,x 1 0 2 3 2,x 1 0 2 4 3,Ab E,,,,,
,,B,,x 2 0 2 3 2,x 1 0 2 4 3,C,,,,,
,,C,,x 3 0 2 3 2,x 2 0 1 3 1,G E C,,,,,
,,C#,,x 4 0 2 3 2,x 4 0 1 2 1,G E F Bb C,,,,,
D Minor,Dm,D,m,x x 0 2 3 1,x x 0 2 3 1,A E G,,,,,
,,Eb,,,,Ab C# E,,,,,
,,E,,0 0 0 2 3 1,0 0 0 2 3 1,Ab E C#,,,,,
,,F,,1 0 0 2 3 1,1 0 0 3 4 2,C# Ab E F#,,,,,
,,F#,,2 0 0 2 3 1,2 0 0 3 4 1,F C#,,,,,
,,G,,3 0 0 2 3 1,3 0 0 2 4 1,C# E A,,,,,
,,G#,,,,E A C,,,,,
,,A,,x 0 0 2 3 1,x 0 0 2 3 1,A E,,,,,
,,Bb,,x 1 0 2 3 1,x 1 0 3 4 2,C# Ab F E,,,,,
,,B,,x 2 0 2 3 1,x 2 0 3 4 1,C# C Ab F,,,,,
,,C,,x 3 0 2 3 1,x 3 0 2 4 1,C# Ab E F# C,,,,,
,,C#,,,,C F E,,,,,
D Diminished,Ddim,D,dim,x x 0 1 0 1,x x 0 1 0 2,Bb A F,,,,x x 1 3 2 4, 
D Augmented,Daug,D,aug,x x 0 3 3 2,x x 0 2 3 1,B A E G ,,,,,
D Maj7,Dmaj7,D,maj7,x x 0 2 2 2,x x 0 1 1 1,A E C D G,,,,x x 1 3 3 3,
,,Eb,,,,Ab E,,,,,
,,E,,0 0 0 2 2 2,0 0 0 1 1 1,G E Ab,,,,1 1 1 3 3 3,
,,F,,1 0 0 2 2 2,1 0 0 2 3 4,G,,,,,
,,F#,,2 0 0 2 2 2,1 0 0 2 3 4,C B G F,,,,,
,,G,,3 0 0 2 2 2,2 0 0 1 1 1,E,,,,,
,,G#,,4 0 0 2 2 2,4 0 0 1 1 1,E,,,,,
,,A,,x 0 0 2 2 2,x 0 0 1 1 1,C A G E,,,,x 1 1 3 3 3,
,,Bb,,x 1 0 2 2 2,x 1 0 2 3 4,,,,,x 1 2 4 4 4,
,,B,,x 2 0 2 2 2,x 1 0 2 3 4,G Ab,,,,,
,,C,,x 3 0 2 2 2,x 2 0 1 1 1,C G,,,,,
,,C#,,x 4 0 2 2 2,x 4 0 1 1 1,E F G,,,,,
D Dominant 7th,D7,D,7,x x 0 2 1 2,x x 0 2 1 3,A B E G,,,,,
,,Eb,,,,Ab E,,,,,
,,E,,0 0 0 2 1 2,0 0 0 2 1 3,G E,,,,,
,,F,,1 0 0 2 1 2,1 0 0 3 2 4,G E,,,,,
,,F#,,2 0 0 2 1 2,2 0 0 3 1 4,B G,,,,,
,,,,2 0 0 2 1 x,2 0 0 3 1 x,,,,,,
,,G,,,,B E,,,,,
,,Ab,,,,E,,,,,
,,A,,x 0 0 2 1 2,x 0 0 2 1 3,B A G E,,,,,
,,Bb,,x 1 0 2 1 2,x 1 0 3 2 4,Ab E,,,,,
,,B,,x 2 0 2 1 2,x 2 0 3 1 4,A G,,,,,
,,C,,x 3 0 2 1 2,x 4 0 3 1 2,B G E,,,,,
,,C#,,,,G,,,,,
D Minor 7th,Dm7,D,m7,x x 0 2 1 1,x x 0 2 1 1,A E B,,,,x x 1 4 2 3,
,,Eb,,,,A Ab E,,,,,
